index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
2,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),single,spotify:track:64dLd6rVqDLtkXFYrEUHIU,0.695,0.923,1.0,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,215150.0,63063467.0,2022-08-31 17:21:40,159,2022-08-31
6,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix],single,spotify:track:2c3KCGq6UojB2c8UAFrRON,0.716,0.897,4.0,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,274142.0,10666154.0,2022-11-18 20:30:00,80,2022-11-18
7,Gorillaz,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,Cracker Island (feat. Thundercat),Cracker Island (feat. Thundercat),single,spotify:track:2W3ZpQg9i6lE6kmHbcdu9N,0.741,0.913,2.0,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,213750.0,42671901.0,2022-07-28 16:00:11,193,2022-06-22
26,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,album,spotify:track:7rK0iM6jwuo1oizdx8suQA,0.853,0.776,8.0,-4.221,0.261,0.0714,0.0,0.181,0.659,94.028,212013.0,28529840.0,2022-09-06 16:00:31,153,2022-08-05
29,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),album,spotify:track:54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,4.0,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387.0,,2022-06-08 00:01:38,243,1986-03-03
30,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,For Whom The Bell Tolls (Remastered),Ride The Lightning (Deluxe Remaster),album,spotify:track:51YZAJhOwIC5Gg3jMbAmhZ,0.512,0.86,0.0,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,309973.0,,2022-06-07 22:23:31,244,1984-07-27
31,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Lux Æterna,Lux Æterna,single,spotify:track:3pwmJJRlr8nXNN9PFD18np,0.386,0.996,11.0,-2.96,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,205680.0,20061385.0,2022-11-28 15:00:20,70,2022-11-28
33,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Screaming Suicide,Screaming Suicide,single,spotify:track:6ZCh9hBeFzMIPycRnyPqZT,0.425,0.972,4.0,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,330453.0,3905429.0,2023-01-19 23:00:19,18,2023-01-19
77,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,album,spotify:track:2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11.0,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933.0,269837425.0,2022-10-21 07:00:18,108,1976-09-20
81,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,DON'T YOU WORRY,ELEVATION,album,spotify:track:0YJW8OXw8G1xDfkzaID3vv,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,162685755.0,2022-06-17 16:00:09,234,2022-11-10
86,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It Louder,Pump It Louder,single,spotify:track:2yEHX6MqAXPyD7bm47A2Br,0.66,0.942,4.0,-2.273,0.185,0.00789,1.76e-05,0.834,0.543,126.017,158571.0,27908495.0,2022-10-07 16:00:08,122,2022-10-07
89,Black Eyed Peas,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,SIMPLY THE BEST,ELEVATION,album,spotify:track:31rWRFlQyMpmF6hfN4vUFj,0.872,0.789,1.0,-6.047,0.132,0.203,2.39e-05,0.125,0.646,126.042,236190.0,18501860.0,2022-10-28 16:00:10,101,2022-11-11
99,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,Never Gonna Not Dance Again,Never Gonna Not Dance Again,single,spotify:track:6sZo5nJIsFWXefRCCexpx0,0.668,0.802,5.0,-4.005,0.0917,0.0273,0.0,0.163,0.769,113.796,225789.0,34361626.0,2022-11-04 04:00:10,94,2022-11-04
105,P!nk,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,TRUSTFALL,TRUSTFALL,single,spotify:track:4FWbsd91QSvgr1dSWwW51e,0.636,0.888,8.0,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,237200.0,2790105.0,2023-01-27 14:00:11,10,2023-01-27
117,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Down In Atlanta,Down In Atlanta,single,spotify:track:5unjCay0kUjuej5ebn4nS4,0.851,0.819,7.0,-5.173,0.212,0.337,0.000153,0.0658,0.903,83.154,164041.0,42006396.0,2022-11-18 05:00:20,80,2022-11-18
119,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Cash In Cash Out,Cash In Cash Out,single,spotify:track:3S68RFe1lsdCdTMPIMJM3X,0.877,0.56,7.0,-3.751,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136.0,104603335.0,2022-06-10 16:00:11,241,2022-06-10
120,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Funk Wav Bounces Vol. 2,album,spotify:track:6clzeGvi1CFioMOolbAOlX,0.81,0.733,9.0,-6.338,0.0444,0.276,6.73e-06,0.288,0.9,125.975,229283.0,99934776.0,2022-07-15 15:00:11,206,2022-08-05
124,Pharrell Williams,https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8,Just A Cloud Away,Just A Cloud Away,single,spotify:track:0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2.0,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,176078.0,105629259.0,2022-03-25 02:04:28,318,2013
127,Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny,Numb,Numb,single,spotify:track:10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0.0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155589.0,203066841.0,2022-06-10 04:00:11,241,2022-06-10
133,Khalid,https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny,8TEEN,American Teen,album,spotify:track:5bgwqaRSS3M8WHWruHgSL5,0.83,0.585,1.0,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600.0,586480399.0,2022-02-28 08:00:12,343,2017-04-27
136,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",single,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,2.0,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,218289.0,196761853.0,2023-01-12 00:00:07,25,2023-01-11
137,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,Monotonía,Monotonía,single,spotify:track:6G12ZafqofSq7YtrMqUm76,0.873,0.695,0.0,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805.0,220692224.0,2022-10-20 00:00:11,109,2022-10-19
138,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,Te Felicito,Te Felicito,single,spotify:track:2rurDawMfoKP4uHyb2kJBt,0.695,0.636,5.0,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,172235.0,473003231.0,2022-04-22 00:00:11,290,2022-04-21
141,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,DON'T YOU WORRY,ELEVATION,album,spotify:track:0YJW8OXw8G1xDfkzaID3vv,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,162685755.0,2022-06-17 16:00:09,234,2022-11-10
147,Machine Gun Kelly,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX,maybe (feat. Bring Me The Horizon),mainstream sellout,album,spotify:track:25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5.0,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,170134.0,90825980.0,2022-03-25 19:00:10,318,2022-03-25
152,Machine Gun Kelly,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX,make up sex (feat. blackbear),mainstream sellout,album,spotify:track:50eJOxJiGmJ7PBZaTKpje1,0.665,0.678,5.0,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,122570.0,67878913.0,2022-03-29 18:00:09,314,2022-03-25
154,Machine Gun Kelly,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX,ay! (feat. Lil Wayne),mainstream sellout,album,spotify:track:1T4tQ4SSagbhAKpvcWg035,0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124188.0,62736773.0,2022-03-04 05:00:19,339,2022-03-25
160,Nicky Jam,https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT,Si Te Preguntan...,Si Te Preguntan...,single,spotify:track:20yLo8tCAM1LXixAdBf3f2,0.76,0.803,8.0,-2.867,0.0306,0.531,0.0,0.0555,0.922,136.945,223074.0,37382738.0,2022-06-24 00:00:10,227,2022-06-23
181,Pitbull,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg,HOT,LEGENDADDY,album,spotify:track:5Pg4qYTcvCUBBq3jBhKq0t,0.898,0.677,11.0,-6.422,0.243,0.0223,0.0,0.35,0.578,130.027,154493.0,52166142.0,2022-03-25 00:00:56,318,2022-03-25
194,Elvis Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis' Christmas Album,album,spotify:track:7n7VsX3sv66znBwA8b5uhp,0.575,0.236,2.0,-16.982,0.0422,0.968,0.0178,0.105,0.829,79.576,115827.0,115786722.0,2022-11-03 07:00:06,95,1957-10-15
195,Elvis Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,Suspicious Minds,From Elvis in Memphis,album,spotify:track:1H5IfYyIIAlgDX8zguUzns,0.487,0.382,7.0,-10.889,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,261280.0,355940570.0,2022-06-29 14:00:11,222,1969-06-17
203,Snoop Dogg,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),single,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0.0,-3.296,0.0955,0.0185,0.0,0.264,0.955,120.048,172714.0,172373567.0,2022-08-05 04:00:11,185,2022-08-05
207,Snoop Dogg,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG,From The D 2 The LBC (with Snoop Dogg),Curtain Call 2,album,spotify:track:6CPAznSrkDmiPBgLXoi00f,0.718,0.768,7.0,-7.87,0.25,0.0988,0.0,0.0957,0.591,164.038,213745.0,46192225.0,2022-06-24 04:00:15,227,2022-08-05
217,Lil Wayne,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,A Milli,Tha Carter III (MTV Bonus Version),album,spotify:track:1xPW9rS8dkuJP46WBTqU2C,0.663,0.688,6.0,-8.659,0.283,0.0391,0.00224,0.223,0.731,151.589,221813.0,432215037.0,2022-02-18 22:49:31,353,2008-01-01
218,Lil Wayne,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,ay! (feat. Lil Wayne),mainstream sellout,album,spotify:track:1T4tQ4SSagbhAKpvcWg035,0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124188.0,62736773.0,2022-03-04 05:00:19,339,2022-03-25
227,Sia,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,Unstoppable - R3HAB Remix,Unstoppable (R3HAB Remix),single,spotify:track:0F3v8p8ZnEGtZDxNcJ5Klq,0.678,0.744,6.0,-4.058,0.234,0.495,2.35e-05,0.0631,0.433,101.987,162353.0,34819346.0,2022-07-08 07:00:03,213,2022-07-08
254,Frank Sinatra,https://open.spotify.com/artist/1Mxqyy3pSjf8kZZL4QVxS0,Silent Night - 1999 Remaster,A Jolly Christmas From Frank Sinatra,album,spotify:track:5yNgdD8E6WruhULb4n2Con,0.252,0.118,8.0,-17.62,0.0328,0.945,6.2e-05,0.117,0.14,87.575,146293.0,42053170.0,2022-11-12 17:00:29,86,1957-09
